technology,cost_type,unit,2020,2030,2040,2050,2060,reference,link,note
nuclear,investment,$/mw,1800000,1800000,1800000,1800000,1800000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
nuclear,investment,eur/kw,6000,6000,6000,6000,6000,PyPSA-China_default,,
nuclear,investment,$/kw,2800,2800,2800,2800,2800,PyPSA-China_new,https://www.energypolicy.columbia.edu/wp-content/uploads/2023/12/QCFNuclearCosts-CGEP_Report_112923.pdf"The Uncertain Costs of New Nuclear Reactors: What Study Estimates Reveal about the Potential for Nuclear in a Decarbonizing World",
hydro,investment,cny/kw,13319,13319,13319,13319,13319,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00365E.",
hydro,investment,$/mw,1337714,1337714,1337714,1337714,1337714,Switch-China,https://github.com/switch-model/switch-china-open-model/,
hydro,investment,eur/kw,2208.16,2208.16,2208.16,2208.16,2208.16,PyPSA-China_default,,
H2 pipeline,investment,eur/kw,267,267,267,267,267,PyPSA-China_default,,
gas ccs,investment,cny/kw,6250,6250,6250,6250,6250,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00362E.",
gas ccs,investment,$/mw,729600,729600,729600,729600,729600,Switch-China,https://github.com/switch-model/switch-china-open-model/,
gas,investment,cny/kw,2000,2000,2000,2000,2000,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00366E.",
gas,investment,$/mw,640000,640000,640000,640000,640000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
gas,investment,eur/kw,453.96,435.24,423.54,411.84,411.84,PyPSA-China_default,,OCGT
Distributed solar,investment,cny/kw,2500,2500,2300,2100,1900,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00358E.",
Distributed solar,investment,$/mw,1500000,1500000,1500000,1500000,1500000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
Distributed solar,investment,cny/kw,2400,2400,2100,2000,1800,Sun et al.,"Qixing Sun, Chao Zhang, Chengren Li, Peipei You, Xiao Gao, Qian Zhao, Zhao Xu, Sijia Liu, and Li Yanlin. Prediction of Power System Cost and Price Level Under the Goal of Carbon Peak and Carbon Neutralization�� (in Chinese).",
Distributed solar,investment,eur/kw,957.47,636.66,525.16,475.38,475.38,PyPSA-China_default,,solar-rooftop
Distributed solar,investment,cny/kw,3500,3500,2700,2100,2000,NREL ATB,https://atb.nrel.gov/electricity/2027/index,
Distributed solar,investment,cny/kw,2800,2800,2100,1900,1700,Li et al.,"Li, Mingquan, Rui Shan, Ahmed Abdulla, Edgar Virguez, and Shuo Gao. ""The role of dispatchability in China's power system decarbonization.""?Energy & Environmental Science?17, no. 6 (2024): 2193-2208.",
CSP,investment,cny/kw,12500,12500,12000,11500,11000,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00359E.",
CSP,investment,$/mw,4800000,4200000,4000000,3600000,3600000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
CSP,investment,cny/kw,12500,12500,10000,8500,8000,Sun et al.,"Qixing Sun, Chao Zhang, Chengren Li, Peipei You, Xiao Gao, Qian Zhao, Zhao Xu, Sijia Liu, and Li Yanlin. Prediction of Power System Cost and Price Level Under the Goal of Carbon Peak and Carbon Neutralization�� (in Chinese).",
CSP,investment,cny/kw,12000,12000,11000,10500,10000,NREL ATB,https://atb.nrel.gov/electricity/2028/index,
CSP,investment,cny/kw,22500,22500,15000,15000,15000,Li et al.,"Li, Mingquan, Rui Shan, Ahmed Abdulla, Edgar Virguez, and Shuo Gao. ""The role of dispatchability in China's power system decarbonization.""?Energy & Environmental Science?17, no. 6 (2024): 2193-2209.",
coal ccs,investment,cny/kw,7000,7000,7000,6250,6250,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00360E.",
coal,investment,cny/kw,3500,3500,3500,3500,3500,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00363E.",
coal,investment,$/mw,542286,542286,542286,542286,542286,Switch-China,https://github.com/switch-model/switch-china-open-model/,
coal,investment,eur/kw,3845.51,3845.51,3845.51,3845.51,3845.51,PyPSA-China_default,,
coal,investment,eur/kw,505.3,505.3,505.3,505.3,505.3,PyPSA-China_new,https://www.cctd.com.cn/show-19-203452-1.html "China Power Industry Annual Development Report 2020" in Chinese,
central hydrogen CHP,investment,eur/kw,1300,1100,950,800,800,PyPSA-China_default,,
central gas CHP,investment,eur/kw,590,560,540,520,520,PyPSA-China_default,,
central coal CHP,investment,eur/kw,1900,1860.47,1822.17,1783.87,1783.87,PyPSA-China_default,,
biomass ccs,investment,cny/kw,12000,12000,9306.36,7600,7600,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00361E.",
biomass ccs,investment,$/mw,3000000,3000000,3000000,3000000,3000000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
biomass,investment,cny/kw,4708.85,4708.85,2000,2000,2000,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00365E.",
biomass,investment,$/mw,2000000,2000000,2000000,2000000,2000000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
biomass,investment,eur/kw,2209,2209,2209,2209,2209,PyPSA-China_default,,
battery storage,investment,cny/kw,3300,3300,3000,2800,2400,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00365E.",
battery storage,investment,$/mwh,1500000,1200000,1200000,1200000,1200000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
battery storage,investment,eur/kwh,232,142,94,75,75,PyPSA-China_default,,
battery storage,investment,cny/kwh,650,310,-,-,-,LBNL,"LBNL, ACHIEVING AN 80% CARBON FREE ELECTRICITY SYSTEM IN CHINA BY 2035, 2024",
